date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:32	785/785	---M--	200	added ('OK')	image/png	etag:%22e833ad94bb1bd91:0%22	http://simedarby.com/sites/default/files/icon/sime_darby_icon_protect2.png	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/icon/sime_darby_icon_protect2.png	(from http://simedarby.com/investor/minority-shareholder-rights)
16:23:33	292087/292087	---M--	200	added ('OK')	application/pdf	etag:%226effc2273cda1:0%22	http://simedarby.com/sites/default/files/2023-11/administrative_guide_2023_egm_0.pdf	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/2023-11/administrative_guide_2023_egm_0.pdf	(from http://simedarby.com/investor/agmegm)
16:23:34	1904/1904	---M--	200	added ('OK')	image/png	etag:%229ce1ae94bb1bd91:0%22	http://simedarby.com/sites/default/files/icon/sime_darby_icon_protect3.png	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/icon/sime_darby_icon_protect3.png	(from http://simedarby.com/investor/minority-shareholder-rights)
16:23:37	1523/1523	---M--	200	added ('OK')	image/png	etag:%225bb6b094bb1bd91:0%22	http://simedarby.com/sites/default/files/icon/sime_darby_icon_protect4.png	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/icon/sime_darby_icon_protect4.png	(from http://simedarby.com/investor/minority-shareholder-rights)
16:23:41	1287/1287	---M--	200	added ('OK')	image/png	etag:%2233db294bb1bd91:0%22	http://simedarby.com/sites/default/files/icon/sime_darby_icon_protect5.png	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/icon/sime_darby_icon_protect5.png	(from http://simedarby.com/investor/minority-shareholder-rights)
16:23:43	616/616	---M--	200	added ('OK')	image/png	etag:%22bb11b494bb1bd91:0%22	http://simedarby.com/sites/default/files/icon/sime_darby_icon_protect6.png	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/icon/sime_darby_icon_protect6.png	(from http://simedarby.com/investor/minority-shareholder-rights)
16:23:44	352080/352080	---M--	200	added ('OK')	application/pdf	etag:%22fe8a3996b38da1:0%22	http://simedarby.com/sites/default/files/minutes_of_egm_held_on_16_november_2023__0.pdf	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/minutes_of_egm_held_on_16_november_2023__0.pdf	(from http://simedarby.com/investor/agmegm)
16:24:45	388962/388962	---M--	200	added ('OK')	image/jpeg	etag:%22e81052b9791da1:0%22	http://simedarby.com/sites/default/files/annualreports-cover/pages_from_sdb_ir23_website.pdf.jpg	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/annualreports-cover/pages_from_sdb_ir23_website.pdf.jpg	(from http://simedarby.com/investor/annual-reports)
16:26:19	940821/940821	---M--	200	added ('OK')	application/pdf	etag:%22abaa27f47b1da1:0%22	http://simedarby.com/sites/default/files/annualreport-pdf/corporate_governance_report_2023.pdf	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/annualreport-pdf/corporate_governance_report_2023.pdf	(from http://simedarby.com/investor/annual-reports)
16:26:57	220749/220749	---M--	200	added ('OK')	image/png	etag:%2282d638dbb1bd91:0%22	http://simedarby.com/sites/default/files/annualreports-cover/annual-report-2022-cover_0.png	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/annualreports-cover/annual-report-2022-cover_0.png	(from http://simedarby.com/investor/annual-reports)
16:31:40	437126/437126	---M--	200	added ('OK')	image/jpeg	etag:%22abc75e8dbb1bd91:0%22	http://simedarby.com/sites/default/files/annualreports-cover/annual_report_2021_cover_0.jpg	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/annualreports-cover/annual_report_2021_cover_0.jpg	(from http://simedarby.com/investor/annual-reports)
16:33:38	284419/284419	---M--	200	added ('OK')	image/png	etag:%22e10698dbb1bd91:0%22	http://simedarby.com/sites/default/files/annualreports-cover/fy2020_ar_cover_image_0.png	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/annualreports-cover/fy2020_ar_cover_image_0.png	(from http://simedarby.com/investor/annual-reports)
16:35:29	91704/91704	---M--	200	added ('OK')	image/png	etag:%22bde7898dbb1bd91:0%22	http://simedarby.com/sites/default/files/annualreports-cover/web_sime_darby_berhad_ar2019_page_001_0.png	C:/Users/user/Desktop/last/simedarby.com/sites/default/files/annualreports-cover/web_sime_darby_berhad_ar2019_page_001_0.png	(from http://simedarby.com/investor/annual-reports)
